p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
3.526665930858259e+17,4.38255900775422e+16,4208964127.625115,3357215246.238401,14420548245.289553,584719214.1220511,741244925.2177716,8.224238219691962e+16,6.2496049037685576e+16,14705352207.142572,57013993.6530907
3.474585905232572e+17,4.299255074223199e+16,4082962941.1637807,3254138560.724937,14025171783.771002,562208832.9302504,710996451.4886198,8.087790950168181e+16,6.150046287341536e+16,14289141655.318918,54507048.318985015
3.422374533354458e+17,4.217317705799354e+16,3960612566.2358303,3154107561.49666,13640538047.327286,540475833.5889484,681864210.399203,7.952996083241346e+16,6.051933902118404e+16,13884497553.861574,52101873.05200363
3.370107229665976e+17,4.136727280602627e+16,3841809915.33436,3057035018.2959394,13266356989.141361,519496424.9609084,653811327.3939521,7.819850019620074e+16,5.9552479280660936e+16,13491102762.021627,49794667.92343077
3.317853650153326e+17,4.057464438777109e+16,3726454757.1902018,2962836141.2541337,12902346359.714825,499247455.3377432,626802010.2944429,7.688348558582123e+16,5.85996881211727e+16,13108648753.415813,47581763.40475313
3.2656780350264614e+17,3.979510078944072e+16,3614449638.6630406,2871428513.7288656,12548231497.86131,479706397.2877121,600801521.0085735,7.558486924009064e+16,5.7660772645707576e+16,12736835383.52257,45459616.23416201
3.213639533321044e+17,3.90284535470355e+16,3505699808.749993,2782732026.9695783,12203745127.291197,460851332.83165455,575776147.9145678,7.430259789613258e+16,5.673554255540155e+16,12375370663.426638,43424805.405770615
3.161792510300976e+17,3.827451671183856e+16,3400113144.6546564,2696668816.5620766,11868627158.63873,442660938.94009465,551693178.9043466,7.30366130337959e+16,5.582381011450165e+16,12023970539.645147,41474028.27806047
3.1101868385018586e+17,3.753310681638364e+16,3297600079.861009,2613163200.60388,11542624496.785654,425114473.3446597,528520875.0710827,7.1786851112434184e+16,5.492539011579856e+16,11682358679.871824,39604096.798163205
3.058868173215883e+17,3.680404284088978e+16,3198073534.1581435,2532141619.5636263,11225490853.34015,408191760.6571362,506228445.0261696,7.055324380026105e+16,5.404009984652306e+16,11350266264.480911,37811933.838681296
3.007878213182335e+17,3.608714618015674e+16,3101448845.563223,2453532577.7789793,10916986564.133175,391873178.7896183,484786019.83114296,6.933571819648594e+16,5.316775905469983e+16,11027431783.636305,36094569.643842034
2.9572549472125715e+17,3.5382240610915216e+16,3007643704.0915112,2377266586.548775,10616878411.598278,376139645.6693555,464164628.53044504,6.813419704643198e+16,5.2308189915952696e+16,10713600839.855837,34449138.38186936
2.907032887444156e+17,3.4689152259625704e+16,2916578087.3235927,2303276108.7762012,10324939451.904177,360972606.24202996,444336174.27123314,6.694859894982931e+16,5.1461217000754696e+16,10408525955.884151,32872874.800542403
2.857243289887785e+17,3.4007709570720508e+16,2828174197.7213693,2231495505.121145,10040948846.713308,346354019.7573521,425273410.99677163,6.577883856247641e+16,5.062666724211777e+16,10111966387.732182,31363110.98299765
2.8079143628983462e+17,3.33377432752831e+16,2742356401.645655,2161860981.620832,9764691699.442646,332266347.33098346,406949920.700252,6.462482679145247e+16,4.9804369903715896e+16,9823687942.744566,29917273.200911123
2.759071464173392e+17,3.2679086360159004e+16,2659051170.0294304,2094310538.7390416,9495958895.90644,318692539.77692556,389340091.2261789,6.3486470984062424e+16,4.8994156548435416e+16,9543462802.56016,28532878.862277314
2.7107372868532512e+17,3.2031574037492816e+16,2578187020.6621146,2028783921.8052297,9234546949.223824,305616025.7046523,372419094.6067803,6.2363675110688776e+16,4.819586100734762e+16,9271069350.834538,27207533.551079936
2.6629320352704336e+17,3.1395043714685704e+16,2499694462.0413847,1965222572.8059568,8980257848.877287,293020699.87538046,356162865.9211723,6.1256339941722616e+16,4.740931934909738e+16,9006292005.596735,25938928.156224743
2.6156735908708083e+17,3.076933496476803e+16,2423505938.7502236,1903569583.4920032,8732898913.81109,280890911.81199616,340548082.66530377,6.016436321873843e+16,4.663436984970243e+16,8748921056.115984,24724836.08717748
2.568977668803166e+17,3.0154289497181812e+16,2349555778.318039,1843769649.7655618,8492282649.461662,269211454.65728545,325552144.6209853,5.908763982007674e+16,4.5870852962757944e+16,8498752504.157509,23563110.573822744
2.5228579656521674e+17,2.9549751128967536e+16,2277780139.5257974,1785769027.312836,8258226608.61485,257967554.27521792,311153154.21256626,5.802606192098938e+16,4.511861129004058e+16,8255587909.50962,22451682.048127294
