p,n,D,T,He3,He4,Be7,Li7,T9,Tnu9,time
0.5027867782698077,0.4972132217301924,1.101543870044077e-10,5.4409109029108356e-21,5.404362156549963e-21,1.6870404434607335e-31,6.203433842767503e-62,6.118473175938358e-62,116.02274045712961,116.02274045712961,0.0
0.5325670051157009,0.4674329951013029,1.6793358279301094e-12,2.0680799396991373e-24,2.42242555338674e-24,8.432603842620473e-36,5.4753227037002725e-71,5.107069959823265e-71,114.9828451981677,114.9827196012663,0.0001340307549617476
0.5328603736326724,0.46713962658436997,1.6600478832267108e-12,2.0277073461281985e-24,2.375661597215897e-24,8.308911160457247e-36,5.227448756600567e-71,4.878707792968971e-71,113.95227037195325,113.95201916838127,0.0002704988306721556
0.5331563588116378,0.4668436414054426,1.641009309950321e-12,1.9882509574296816e-24,2.32995628432141e-24,8.18892957046935e-36,4.99235199655712e-71,4.662031796128419e-71,112.93093244077821,112.93055561062069,0.0004094484083078119
0.5334549845238129,0.4665450156933052,1.622216832019332e-12,1.9496889794345104e-24,2.285284522285782e-24,8.07256692929592e-36,4.769327506669268e-71,4.456401127758139e-71,111.918748615671,111.91824612921934,0.0005509220392334863
0.5337562735667944,0.4662437266503608,1.6036672216991765e-12,1.912000183348363e-24,2.241621857099565e-24,7.959734435500124e-36,4.557711826046808e-71,4.261212479549792e-71,110.91563684968584,110.91500866720578,0.0006949646462719013
0.534060249035083,0.46593975118210895,1.5853572908214895e-12,1.8751638511164695e-24,2.1989444236254444e-24,7.850346388608402e-36,4.356879623918906e-71,4.075897044608944e-71,109.92151583125197,109.92076190281487,0.0008416231156754515
0.534366933849419,0.465633066367809,1.567283898462827e-12,1.8391597924772368e-24,2.1572289614612784e-24,7.744320214151208e-36,4.166241951797149e-71,3.8999189548166145e-71,108.93630497758258,108.93542524295925,0.000990945888725965
0.5346763515403801,0.46532364867688375,1.5494439396074304e-12,1.803968298606117e-24,2.116452767544001e-24,7.641576266456337e-36,3.985243604130275e-71,3.732772885504564e-71,107.959924428143,107.95891881675558,0.0011429825822214723
0.5349885258454136,0.46501147437188534,1.5318343567176877e-12,1.769570164364359e-24,2.0765937192356817e-24,7.542037868745502e-36,3.813361555374525e-71,3.5739826579535846e-71,106.992295038177,106.99116346910435,0.0012977836363375049
0.5353034791384449,0.46469652107888887,1.5144521298764182e-12,1.735946658828084e-24,2.037630226449864e-24,7.445631160005053e-36,3.65010275715433e-71,3.4230992714019436e-71,106.0333383722916,106.03208075432373,0.0014553999884188696
0.5356212394234933,0.4643787607938748,1.4972942554437814e-12,1.703079447228567e-24,1.9995411960154247e-24,7.352284882278557e-36,3.4950021081798736e-71,3.2796989771805353e-71,105.08297669809899,105.08159292983693,0.0016158827713236023
0.5359418139607077,0.4640581862566942,1.480357862067036e-12,1.6709508877341856e-24,1.962306180323937e-24,7.261930993510081e-36,3.3476217260271148e-71,3.1433829622204172e-71,104.14113297991567,104.13962294991258,0.001779283035003778
0.5362653059643411,0.4637346942530944,1.4636399604158736e-12,1.6395431795102459e-24,1.9259052720340808e-24,7.174503128633362e-36,3.207548184021174e-71,3.0137734126019137e-71,103.20773087251798,103.20609445721658,0.0019456863509005782
0.5365918158031172,0.4634081844143513,1.4471376799557092e-12,1.608839124341292e-24,1.8903192027743493e-24,7.089937890568303e-36,3.074392005904169e-71,2.8905144197085426e-71,102.2826947149536,102.28093169923991,0.0021164426943827185
0.5369212042175477,0.4630787959999533,1.430848255673481e-12,1.578822830441655e-24,1.855528393888809e-24,7.008175048169593e-36,2.9477847678898755e-71,2.7732719600711027e-71,101.36594952440856,101.36405966942395,0.0022919144637254247
0.537253466714931,0.4627465335026021,1.4147689272983763e-12,1.5494782996127476e-24,1.8215142137101166e-24,6.929156449751143e-36,2.8273795225612854e-71,2.661729758176201e-71,100.45742099012904,100.45540408056588,0.002471721349952572
0.537588643646172,0.4624113565713928,1.3988969361403415e-12,1.5207897270226813e-24,1.7882585826914254e-24,6.852826084959241e-36,2.7128488983956413e-71,2.5555888087862745e-71,99.55703546739801,99.55489130678419,0.0026555370980469515
0.5379267610487912,0.46207323916880494,1.3832295742650897e-12,1.4927417683147455e-24,1.7557438425521144e-24,6.779130368500976e-36,2.6038839690402037e-71,2.454567027320039e-71,98.66471997156549,98.66244837792992,0.0028430855653593413
0.5382678487782285,0.46173215143939866,1.367764157627728e-12,1.4653194203937462e-24,1.7239527506374834e-24,6.708017902947892e-36,2.5001929651146063e-71,2.358397883080006e-71,97.78040217213243,97.77800297403044,0.003034136993345417
0.538611935163744,0.4613880650539137,1.3524980557548981e-12,1.438508094382864e-24,1.692868528537484e-24,6.639439655365639e-36,2.4015007173941583e-71,2.266829954357554e-71,96.90401038688786,96.90148341976544,0.00322850448273539
0.5389590484839611,0.46104095173372656,1.3374286568053196e-12,1.4122935218803219e-24,1.6624747622006055e-24,6.573348642815462e-36,2.3075470704119798e-71,2.179625470120585e-71,96.0354735760981,96.03281867897566,0.003426040662661021
0.5393092175718304,0.46069078264588725,1.322553395582864e-12,1.3866618154507882e-24,1.632755477613824e-24,6.50970013903688e-36,2.2180866255878684e-71,2.0965600798576556e-71,95.17472133674852,95.17193834920545,0.0036266345446671414
0.5396624707240988,0.4603375294936481,1.3078697362207646e-12,1.3615994169699842e-24,1.6036950735989076e-24,6.448451470402293e-36,2.1328874457241335e-71,2.017421683417391e-71,94.32168389683666,94.31877265627878,0.0038302085529217985
0.5400188366651649,0.4599811635526109,1.2933751755765151e-12,1.337093099849418e-24,1.575278330739192e-24,6.389562032811183e-36,2.0517304307962737e-71,1.9420098602452323e-71,93.47629210971655,93.4732524489098,0.004036715722309955
0.5403783437040384,0.45962165651376613,1.2790672509508449e-12,1.3131299773369057e-24,1.5474904169232657e-24,6.332993298070848e-36,1.9744086416694552e-71,1.870135263260157e-71,92.63847744849369,92.63530919334781,0.004246137056451941
0.5407410211104834,0.45925897910734936,1.2649435237645677e-12,1.2896974612109688e-24,1.5203168463217026e-24,6.278708697703768e-36,1.90072644405335e-71,1.8016188319922224e-71,91.80817200047045,91.80487496805726,0.004458479038029518
0.5411068977433389,0.4588931024745217,1.2510015928032606e-12,1.2667832824683859e-24,1.493743496670672e-24,6.226673666376851e-36,1.830498980103584e-71,1.7362913247381629e-71,90.98530846164095,90.98188245843308,0.004673771284130501
0.541476002442529,0.4585239977753591,1.23723909097691e-12,1.2443754773636397e-24,1.4677565954809654e-24,6.17685560083885e-36,1.7635515279196477e-71,1.6739927347346705e-71,90.1698201312355,90.1662649515513,0.004892064339637405
0.5418483648753725,0.4581516353425427,1.223653677344025e-12,1.2224623641574499e-24,1.44234269720436e-24,6.129223799394531e-36,1.699718851199354e-71,1.6145716944138007e-71,89.3616409063139,89.35795633095576,0.005113427601987596
0.5422240139088232,0.45777598630911887,1.2102430488752311e-12,1.2010325621764291e-24,1.4174886974886208e-24,6.083749504263175e-36,1.6388447753538276e-71,1.5578851028729536e-71,88.56070527640718,88.55689107148048,0.005337947370922107
0.5426029795723709,0.45739702064559756,1.1970049271943614e-12,1.1800749557853259e-24,1.3931818013289717e-24,6.040405815341835e-36,1.580781538081412e-71,1.503797523005355e-71,87.76694831820733,87.76300423410856,0.0055657250171180315
