p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
687118.4206111638,37926.560466957795,632974401.1371608,550023642.5664978,5628947635.608385,355294516.6972432,461117508.09695774,60453.37546018236,56125.32621195255,6346246815.2320595,126894210.29986902
667083.6174163362,36915.882360042146,616106713.6487392,535366451.2213385,5478945788.084131,347887252.1053578,450754754.10958874,58629.02037367991,54629.68205789491,6177130168.790414,123512696.16662301
647626.925892822,35932.13709974433,599688521.2436824,521099849.0099955,5332941233.787185,340634227.96982735,440624001.62678176,56857.01785040431,53173.89426791644,6012520192.343862,120221293.6137739
628732.9419836336,34974.60697166848,583707845.6451758,507213427.3986743,5190827451.675251,333532234.8219776,430720068.69946694,55135.96471725957,51756.90073793762,5852296790.828604,117017601.3214983
610386.5294056588,34042.5933872824,568153027.7770371,493697055.2232406,5052500759.31,326578129.94946533,421037888.95849234,53464.4916181402,50377.66766713984,5696343069.509313,113899281.96104752
592572.8288427561,33135.41637424604,553012719.2575667,480540871.2977944,4917860237.213141,319768836.0080831,411572509.0388836,51841.26235499251,49035.188803731995,5544545248.695863,110864060.48949505
575277.265517955,32252.41408032169,538275874.1200689,467735277.2202094,4786807655.2382345,313101339.6624242,402319086.06147164,50264.97323447112,47728.484710815814,5396792580.732679,107909722.48992556
558485.5552888789,31392.94229050415,523931740.75400734,455270930.3693939,4659247400.904589,306572690.254814,393272885.1706167,48734.352420565556,46456.60205181472,5252977269.200189,105034112.555855
542183.7093997872,30556.37395701869,509969854.0609179,443138737.089164,4535086409.64095,300179998.5019165,384429277.1267786,47248.159293538694,45218.61289494491,5112994390.269435,102235132.7187037
526358.0380137571,29742.098741843514,496380027.8193483,431329846.053752,4414234096.888042,293920435.2184398,375783735.95270896,45805.18381548874,44013.61403622082,4976741816.152413,99510740.91717374
510995.1526392957,28949.522571423502,483152347.2532641,419835641.8101161,4296602292.010506,287791230.0673818,367331836.63207614,44404.24590281921,42840.726340501664,4844120140.592381,96858949.50741585
496081.9675569757,28178.067203249844,470277161.79849046,408647738.49233365,4182105173.969925,281789670.33625853,359069252.85935074,43044.19480587533,41699.09410009772,4715032606.339675,94277823.8128969
481605.7003437855,27427.169803989676,457745078.06191635,397757973.7034963,4070659208.712083,275913099.73877907,350991754.8398134,41723.90849597778,40587.884410468716,4589385034.560194,91765480.7129114
467553.87158524117,26696.28253885787,445546952.96832573,387158402.5606426,3962183088.222743,270158917.2414361,343095207.1385671,40442.293060064476,39506.28656255887,4467085756.125035,89320087.26870671
453914.3038584846,25984.872171931387,433673887.0898532,376841291.89838326,3856597671.207485,264524575.91449565,335375566.5774647,39198.28210312511,38453.51145132515,4348045544.7311325,86939859.38621986
440675.1200629933,25292.41967711439,422117218.1531966,366799114.62698746,3753825925.3523064,259007581.80687532,327828880.17888075,37990.836158594764,37428.791000027086,4232177551.804107,84623060.51444954
427824.7411695576,24618.419859470712,410868514.71985346,357024544.2408195,3653792871.122905,253605492.84441936,320451283.15528935,36818.94210685195,36431.3775998585,4119397243.1358666,82368000.37851492
415351.8834525091,23962.38098664697,399919570.0347671,347510449.4731145,3556425527.0615945,248315917.75107947,313238996.94362456,35681.612601947,35460.543564511885,4009622337.2106833,80173033.74647585
403245.55526503077,23323.824430117802,389262396.0388969,338249889.0931959,3461652856.5419827,243136514.9925283,306188327.283428,34577.8855066708,34515.580599277935,3902772745.174797,78036559.22901554
391495.0534124327,22702.28431599115,378889217.5413427,329236106.84233844,3369405715.9425335,238064991.7417379,299295662.33780783,33506.823336055415,33595.799284292516,3798770512.4057145,75957018.1111094
380089.9591738259,22097.307185119065,368792466.54677105,320462526.5045804,3279616804.2012115,233099102.8660656,292557470.8562547,32467.512709383525,32700.52857155418,3697539761.6385813,73932893.21482794
369020.13401845074,21508.451662265987,358964776.7340087,311922747.1088922,3192220613.714428,228236649.93540266,285970300.37838525,31459.06381076919,31829.115295345488,3599006637.608157,71962707.79244415
358275.7150589336,20935.28813409305,349398978.0817686,303610538.259197,3107153382.544419,223475480.25094503,279530775.4776991,30480.609858357253,30980.923695700538,3503099253.1659617,70045024.44903745
347847.1102802613,20377.398435723677,340088091.6375945,295519835.58884066,3024353047.900246,218813485.89415973,273235596.0444603,29531.3065821779,30155.33495457153,3409747636.83334,68178444.09380883
337724.99357980606,19834.375545661558,331025324.42620206,287644736.3361899,2943759200.8584247,214248602.79552513,267081535.60683042,28610.331710678474,29351.746744355474,3318883681.7521205,66361604.919341184
327900.2996506973,19305.823288838605,322204064.4935045,279979495.03813493,2865313042.290181,209778809.8226354,261065439.68940187,27716.884465944997,28569.572788452017,3230441095.9956627,64593181.40806088
318364.2187379174,18791.356047576097,313617876.0827065,272518519.3383514,2788957339.963166,205402127.88726526,255184224.20829943,26850.18506761467,27808.242433531548,3144355354.204026,62871883.36517525
309108.1912938847,18290.598480248365,305260494.9389479,265256365.9072673,2714636386.7863507,201116619.07100278,249434873.90203556,26009.4742454705,27067.200233201827,3060563650.507994,61196454.977381
300123.902557758,17803.18524744343,297125823.7390689,258187736.47075287,2642295960.1675997,196920385.76906136,243814440.79732063,25194.01276069999,26345.905542768916,2979004852.707567,59565673.89665598
291403.27708048944,17328.76074542115,289207927.64316607,251307473.9446419,2571883282.4543233,192811569.85189626,238320042.7090548,24403.080935792008,25643.832124797318,2899619457.6715474,57978350.348466724
282938.4732154802,16866.978846674097,281501029.9646896,244610558.67225888,2503346982.4282885,188788351.8442514,232948861.7737341,23635.978193036357,24960.467765180976,2822349547.92562,56433326.26374034
274721.8775928043,16417.502647402234,273999507.9559279,238092104.76221243,2436637057.8265615,184848950.12127924,227698143.01553282,22892.022601584984,24295.31389944564,2747138749.397322,54929474.433968425
266746.0995931185,15980.004221716761,266697888.70579907,231747356.5237773,2371704838.8611703,180991620.1213733,222565192.944329,22170.55043302511,23647.885249009345,2673932190.2870016,53465697.688825384
259003.9658357611,15554.164382394149,259590845.146961,225571684.99726984,2308502952.7109303,177214653.57537,217547378.1849657,21470.915725409588,23017.709467136126,2602676461.0348196,52040928.09570229
251488.51469400263,15139.672448005625,252673192.16932458,219560584.57688162,2246985288.959489,173516377.75177762,212642124.13705054,20792.489855682747,22404.326794324374,2533319575.3545523,50654126.1805716
244192.99084898285,14736.226016252222,245939882.83713457,213709669.72350886,2187106965.9543886,169895154.71769857,207846913.66461283,20134.66112043541,21807.289722878482,2465810932.3057733,49304280.16961446
237110.8398926114,14343.530743340189,239386004.7068611,208014671.76518103,2128824298.06262,166349380.6151218,203159285.81495652,19496.834324917174,21226.16267041926,2400101279.3767695,47990405.25105764
230235.70298849887,13961.300129235464,233006776.24320933,202471435.78274938,2072094763.7987258,162877484.95226046,198576834.5660534,18878.430380229496,20660.52166209443,2336142676.5511947,46711542.856680766
223561.4115988951,13589.255308640926,226797543.33063933,197075917.57856932,2016876974.8022654,159477929.90962753,194097207.60184667,18278.885908619235,20109.95402125793,2273888461.3323193,45466759.9624705
217081.9822846122,13227.124847543722,220753775.8778479,191824180.7259618,1963130645.6419723,156149209.66054013,189718105.11484006,17697.65285678822,19574.058068392063,2213293214.699321,44255148.407911226
210791.61158399322,12874.64454518414,214871064.51273265,186712393.69729984,1910816564.4245605,152889849.70575187,185437278.6353644,17134.198117130654,19052.442828052655,2154312727.970755,43075824.23341494
204684.67097614263,12531.557241301813,209145117.36543265,181736827.06862864,1859896564.1867805,149698406.22192177,181252529.8869298,16588.00315680753,18544.72774362387,2096903970.5510921,41927927.03540807
198755.70193286997,12197.612628518422,203571756.9370937,176893850.79877675,1810333495.0498126,146573465.42363045,177161709.66708085,16058.563654563975,18050.54239967419,2041025058.5367308,40810619.338603824
192999.41106309416,11872.567069720086,198146917.05207643,172179931.5809747,1762091197.1157055,143513642.93866226,173162716.75318742,15545.389145192972,17569.526251711155,1986635224.158619,39723085.98500248
187410.66535281928,11556.183420306168,192866639.89138225,167591630.26504776,1715134474.0860708,140517583.19627777,169253496.83261508,15048.002671546566,17101.328363137673,1933694786.0391686,38664533.539173745
181984.48750320642,11248.230855174923,187727073.10513428,163125599.34830403,1669429067.5838056,137583958.82820624,165432041.45673347,14565.940443993879,16645.607149218034,1882165120.2417824,37634189.709387414
176716.05136874004,10948.4847003196,182724467.00200474,158778580.5332849,1624941632.159084,134711470.08209407,161696387.01822993,14098.751507223014,16202.030127866723,1832008632.09185,36631302.78416976
171600.6774970011,10656.726268912298,177855171.81354055,154547402.35059842,1581639710.9614122,131898844.2471498,158044613.75121176,13645.997414282998,15770.273677078401,1783188728.7486825,35655141.08387499
166633.82877114494,10372.742701755828,173115635.03138843,150428977.84509885,1539491712.059964,129144835.09173177,154474844.75358626,13207.251907759686,15350.022798821805,1735669792.5083363,34704992.42687101
161811.1061557486,10096.326811987306,168502398.81547964,146420302.32372653,1498466885.3949502,126448222.31263117,150985245.0312257,12782.100607979732,14940.970889225593,1689417154.81789,33780163.60995073
157128.2445463929,9827.27693392017,164012097.47128204,142518451.163364,1458535300.3431983,123807810.99580674,147574020.56343037,12370.140708134237,14542.81951488834,1644397070.982191,32879979.90258951
152581.10872297187,9565.396775914189,159641454.99427816,138720577.6771081,1419667823.8815565,121222431.0883322,144239417.38921484,11970.980676214333,14155.278195149405,1600576695.5446174,32003784.554679558
148165.68940647776,9310.495277166345,155387282.67988,135023911.03740335,1381836099.3322198,118690936.8813252,140979720.7139551,11584.239963649441,13778.064190161995,1557924058.32391,31150938.3173826
143878.09941873504,9062.38646831795,151246476.79703468,131425754.25451976,1345012525.6744528,116212206.50362743,137793254.03594235,11209.548720539184,13410.902294613703,1516408041.0895782,30320818.97675093
139714.56994432956,8820.889335776306,147216016.32382452,127923482.20890038,1309170237.4076114,113785141.42601359,134678378.29239926,10846.547517368881,13053.524636943968,1475998354.8588612,29512820.89977654
135671.44689379237,8585.82768965204,143292960.7434101,124514539.73594438,1274283084.9507952,111408665.9757102,131633491.0245271,10494.887073099404,12705.670483912167,1436665517.7986965,28726354.592537507
131745.18736689727,8357.030035215606,139474447.89870697,121196439.76182637,1240325615.564803,109081726.8610091,128657025.56115805,10154.227989521401,12367.086050373513,1398380833.7165532,27960846.270118773
127932.35621480431,8134.329447779335,135757691.9042324,117966761.48899399,1207273054.782495,106803292.7057672,125747450.22059973,9824.240491764338,12037.524314124226,1361116371.124459,27215737.437994055
124229.62269960954,7917.563450913572,132139981.11359683,114823148.63001785,1175101288.3339963,104572353.59358509,122903267.5302652,9504.604174851012,11716.744835680634,1324844942.8609223,26490484.484562937
120633.75724978354,7706.573897908218,128618676.14115903,111763307.68850707,1143786844.5535684,102387920.62146479,120123013.46369395,9195.00775618857,11404.513582860956,1289540086.255905,25784558.28454641
117141.62830983925,7501.206856393102,125191207.93640071,108785006.28583546,1113306877.255307,100249025.46274914,117405256.69457541,8895.14883388751,11100.602760041644,1255176043.824364,25097443.8129511
113750.19928252437,7301.312496032978,121855075.90961495,105886071.53245695,1083639149.0651681,98154719.93914892,114748597.86739662,8604.733650800525,10804.790641963713,1221727744.474269,24428639.76932067
110456.52556171911,7106.744979215336,118607846.10754293,103064388.44262357,1054762015.1971753,96104075.60167052,112151668.88434356,8323.476864174017,10516.861411967928,1189170785.2154055,23777658.21200041
107257.75165420241,6917.362354651129,115447149.43762611,100317898.3913478,1026654407.6619563,94096183.32025726,109613132.20809482,8051.101320805431,10236.605004540681,1157481413.3555982,23144024.202147916
104151.10838836493,6733.026453810892,112370679.93957919,97644597.61248451,999295819.8960981,92130152.88196455,107131680.18015245,7787.337837600652,9963.816952055775,1126636509.1713798,22527275.45723034
101133.91020793834,6553.6027901206635,109376193.10302298,95042535.73683661,972666291.801105,90205112.5974907,104706034.3543651,7531.924987426316,9698.298235600296,1096613569.0404546,21926962.013755374
98203.5525487605,6378.960460844146,106461504.22994919,92509814.36921735,946746395.1810399,88320208.91588998,102334944.84530433,7284.608890153041,9439.855139775687,1067390689.0236549,21342645.898989826
95357.50929659208,6208.97205157955,103624486.8408227,90044585.70343168,921517219.5682288,86474606.04729752,100017189.69116317,7045.1430087863,9188.299111368146,1038946548.884407,20773900.811426338
92593.33032397847,6043.513543301434,100863071.12315878,87645051.174166,896960358.4266864,84667485.59349994,97751574.23085415,6813.287950582861,8943.446621785211,1011260396.5340548,20220311.809765153
89908.63910414981,5882.464221879725,98175242.4214429,85309460.1448027,873057895.7231979,82898046.1861881,95536930.49498986,6588.81127305172,8705.11903315819,984312032.8916878,19681475.010183975
87301.1303999551,5725.706590009893,95559039.76729155,83036108.63020228,849792392.8562558,81165503.13273238,93372116.61043684,6371.48729473956,8473.142468012702,958081797.1474274,19156997.291675072
84768.56802582656,5573.126281490031,93012554.44878173,80823338.05352081,827146875.9333191,79469088.06932418,91256016.21814093,6161.096910701919,8247.347682412295,932550552.4184227,18646496.009234596
82308.78268079022,5424.61197778233,90533928.61790566,78669534.03615668,805104823.3871144,77808048.62133065,89187537.90392788,5957.427412562549,8027.569942482578,907699671.7870895,18149598.714695
79919.66985054762,5280.05532679803,88121353.93513428,76573125.21994284,783650153.9219398,76181648.07071213,87165614.64199074,5760.272313064391,7813.648904225772,883511024.7114084,17665942.884996776
77599.18777668016,5139.3508638466055,85773070.25010051,74532582.12072535,762767214.7811762,74589165.03035581,85189203.2507808,5569.431175017135,7605.428496537962,859966963.7973593,17195175.657701183
